timestamps,src_ip,dst_ip,src_port,dst_port,src_mac,dst_mac,protocol,packet_size,cpu_percent,memory_percent,bytes_sent,bytes_recv,packet_rate,label
2025-06-25T09:37:09.716677,27.116.54.177,192.168.0.103,443,48335,38:6b:1c:50:4a:24,60:e9:aa:84:d4:ff,UDP,1292,25.0,77.9,50077064,702059707,38,normal
2025-06-25T09:37:09.736953,27.116.54.177,192.168.0.103,443,48335,38:6b:1c:50:4a:24,60:e9:aa:84:d4:ff,UDP,1292,28.0,77.9,50077274,702086839,39,normal
2025-06-25T09:37:09.755193,27.116.54.177,192.168.0.103,443,48335,38:6b:1c:50:4a:24,60:e9:aa:84:d4:ff,UDP,1292,30.4,77.9,50078340,702152731,40,normal
2025-06-25T09:37:09.774561,27.116.54.177,192.168.0.103,443,48335,38:6b:1c:50:4a:24,60:e9:aa:84:d4:ff,UDP,1292,33.3,77.9,50079595,702238003,41,normal
2025-06-25T09:37:09.793752,192.168.0.103,27.116.54.177,48335,443,60:e9:aa:84:d4:ff,38:6b:1c:50:4a:24,UDP,76,27.3,77.9,50079701,702238003,42,normal
2025-06-25T09:37:09.814093,27.116.54.177,192.168.0.103,443,48335,38:6b:1c:50:4a:24,60:e9:aa:84:d4:ff,UDP,1292,25.0,77.9,50080242,702247047,43,normal
2025-06-25T09:37:09.832403,27.116.54.177,192.168.0.103,443,48335,38:6b:1c:50:4a:24,60:e9:aa:84:d4:ff,UDP,1292,23.8,77.9,50081309,702280639,44,normal
2025-06-25T09:37:09.852785,27.116.54.177,192.168.0.103,443,48335,38:6b:1c:50:4a:24,60:e9:aa:84:d4:ff,UDP,1292,32.0,77.9,50081309,702280639,44,normal
2025-06-25T09:37:09.872287,27.116.54.177,192.168.0.103,443,48335,38:6b:1c:50:4a:24,60:e9:aa:84:d4:ff,UDP,1292,22.7,77.8,50081415,702281931,44,normal
2025-06-25T09:37:09.891094,27.116.54.177,192.168.0.103,443,48335,38:6b:1c:50:4a:24,60:e9:aa:84:d4:ff,UDP,1292,26.1,77.8,50081732,702290975,44,normal
2025-06-25T09:37:09.910901,27.116.54.177,192.168.0.103,443,48335,38:6b:1c:50:4a:24,60:e9:aa:84:d4:ff,UDP,1292,29.2,77.8,50081732,702290975,44,normal
2025-06-25T09:37:09.935487,192.168.0.103,27.116.54.177,48335,443,60:e9:aa:84:d4:ff,38:6b:1c:50:4a:24,UDP,76,46.7,77.8,50081833,702290975,44,anomaly
2025-06-25T09:37:09.962727,27.116.54.177,192.168.0.103,443,48335,38:6b:1c:50:4a:24,60:e9:aa:84:d4:ff,UDP,1292,43.3,77.8,50081833,702290975,45,anomaly
2025-06-25T09:37:09.980614,27.116.54.177,192.168.0.103,443,48335,38:6b:1c:50:4a:24,60:e9:aa:84:d4:ff,UDP,1292,27.3,77.8,50081833,702290975,45,normal
2025-06-25T09:37:09.998870,27.116.54.177,192.168.0.103,443,48335,38:6b:1c:50:4a:24,60:e9:aa:84:d4:ff,UDP,1292,22.7,77.8,50081833,702290975,46,normal
2025-06-25T09:37:10.016050,192.168.0.103,27.116.54.177,48335,443,60:e9:aa:84:d4:ff,38:6b:1c:50:4a:24,UDP,76,20.0,77.8,50082469,702324567,46,normal
2025-06-25T09:37:10.036258,27.116.54.177,192.168.0.103,443,48335,38:6b:1c:50:4a:24,60:e9:aa:84:d4:ff,UDP,1292,28.0,77.8,50082469,702324567,46,normal
2025-06-25T09:37:10.055528,27.116.54.177,192.168.0.103,443,48335,38:6b:1c:50:4a:24,60:e9:aa:84:d4:ff,UDP,1292,31.8,77.8,50082469,702324567,47,normal
2025-06-25T09:37:10.074841,27.116.54.177,192.168.0.103,443,48335,38:6b:1c:50:4a:24,60:e9:aa:84:d4:ff,UDP,1292,30.4,77.8,50084303,702446007,47,normal
2025-06-25T09:37:10.095045,192.168.0.103,27.116.54.177,48335,443,60:e9:aa:84:d4:ff,38:6b:1c:50:4a:24,UDP,76,29.2,77.8,50084412,702446007,47,normal
2025-06-25T09:37:10.114230,27.116.54.177,192.168.0.103,443,48335,38:6b:1c:50:4a:24,60:e9:aa:84:d4:ff,UDP,1292,30.4,77.8,50084737,702453759,47,normal
2025-06-25T09:37:10.133645,192.168.0.103,27.116.54.177,48335,443,60:e9:aa:84:d4:ff,38:6b:1c:50:4a:24,UDP,78,30.4,77.8,50085064,702461511,47,normal
2025-06-25T09:37:10.152770,27.116.54.177,192.168.0.103,443,48335,38:6b:1c:50:4a:24,60:e9:aa:84:d4:ff,UDP,1292,26.1,77.8,50085391,702483475,47,normal
2025-06-25T09:37:10.171954,27.116.54.177,192.168.0.103,443,48335,38:6b:1c:50:4a:24,60:e9:aa:84:d4:ff,UDP,1292,26.1,77.8,50086141,702524819,48,normal
2025-06-25T09:37:10.199292,27.116.54.177,192.168.0.103,443,48335,38:6b:1c:50:4a:24,60:e9:aa:84:d4:ff,UDP,1292,51.5,77.8,50086662,702548075,48,anomaly
2025-06-25T09:37:10.222528,192.168.0.103,27.116.54.177,48335,443,60:e9:aa:84:d4:ff,38:6b:1c:50:4a:24,UDP,78,22.2,77.8,50087080,702570039,48,normal
2025-06-25T09:37:10.241248,192.168.0.103,27.116.54.177,48335,443,60:e9:aa:84:d4:ff,38:6b:1c:50:4a:24,UDP,78,14.3,77.8,50087080,702570039,48,normal
2025-06-25T09:37:10.266555,192.168.0.103,27.116.54.177,48335,443,60:e9:aa:84:d4:ff,38:6b:1c:50:4a:24,UDP,78,26.7,77.8,50087080,702570039,47,normal
2025-06-25T09:37:10.287963,27.116.54.177,192.168.0.103,443,48335,38:6b:1c:50:4a:24,60:e9:aa:84:d4:ff,UDP,1292,25.9,77.8,50087080,702570039,47,normal
2025-06-25T09:37:10.309994,27.116.54.177,192.168.0.103,443,48335,38:6b:1c:50:4a:24,60:e9:aa:84:d4:ff,UDP,1292,23.1,77.8,50088033,702635676,47,normal
2025-06-25T09:37:10.329734,27.116.54.177,192.168.0.103,443,48335,38:6b:1c:50:4a:24,60:e9:aa:84:d4:ff,UDP,1292,30.4,77.8,50089322,702689327,47,normal
2025-06-25T09:37:10.348218,27.116.54.177,192.168.0.103,443,48335,38:6b:1c:50:4a:24,60:e9:aa:84:d4:ff,UDP,1292,19.0,77.8,50089322,702689327,47,normal
2025-06-25T09:37:10.370879,192.168.0.103,27.116.54.177,48335,443,60:e9:aa:84:d4:ff,38:6b:1c:50:4a:24,UDP,78,25.9,77.8,50090052,702719043,47,normal
2025-06-25T09:37:10.389710,27.116.54.177,192.168.0.103,443,48335,38:6b:1c:50:4a:24,60:e9:aa:84:d4:ff,UDP,1292,22.7,77.8,50090686,702743591,47,normal
2025-06-25T09:37:10.411496,27.116.54.177,192.168.0.103,443,48335,38:6b:1c:50:4a:24,60:e9:aa:84:d4:ff,UDP,1292,23.1,77.8,50090791,702762971,47,normal
2025-06-25T09:37:10.445907,27.116.54.177,192.168.0.103,443,48335,38:6b:1c:50:4a:24,60:e9:aa:84:d4:ff,UDP,1292,69.0,77.8,50091633,702795271,47,anomaly
2025-06-25T09:37:10.473409,27.116.54.177,192.168.0.103,443,48335,38:6b:1c:50:4a:24,60:e9:aa:84:d4:ff,UDP,1292,45.2,77.8,50097258,702801731,47,anomaly
2025-06-25T09:37:10.494623,27.116.54.177,192.168.0.103,443,48335,38:6b:1c:50:4a:24,60:e9:aa:84:d4:ff,UDP,1292,26.9,77.8,50098324,702845886,48,normal
2025-06-25T09:37:10.516274,27.116.54.177,192.168.0.103,443,48335,38:6b:1c:50:4a:24,60:e9:aa:84:d4:ff,UDP,1292,20.0,77.8,50098324,702845886,47,normal
2025-06-25T09:43:12.981981,0.0.0.0,0.0.0.0,0,0,38:6b:1c:50:4a:24,ff:ff:ff:ff:ff:ff,OTHER,42,28.3,78.2,51822391,746887965,1,anomaly
2025-06-25T09:43:13.903146,0.0.0.0,0.0.0.0,0,0,38:6b:1c:50:4a:24,ff:ff:ff:ff:ff:ff,OTHER,42,7.1,78.1,51822391,746888007,2,anomaly
2025-06-25T09:43:16.974879,0.0.0.0,0.0.0.0,0,0,38:6b:1c:50:4a:24,ff:ff:ff:ff:ff:ff,OTHER,42,5.8,78.2,51822391,746888049,1,anomaly
2025-06-25T09:43:16.977117,0.0.0.0,0.0.0.0,0,0,38:6b:1c:50:4a:24,ff:ff:ff:ff:ff:ff,OTHER,42,33.3,78.2,51822391,746888091,2,anomaly
2025-06-25T09:43:17.999031,0.0.0.0,0.0.0.0,0,0,38:6b:1c:50:4a:24,ff:ff:ff:ff:ff:ff,OTHER,42,6.5,78.3,51822391,746888175,1,anomaly
2025-06-25T09:43:18.001235,0.0.0.0,0.0.0.0,0,0,38:6b:1c:50:4a:24,ff:ff:ff:ff:ff:ff,OTHER,42,0.0,78.3,51822391,746888175,2,anomaly
2025-06-25T09:43:18.921096,0.0.0.0,0.0.0.0,0,0,38:6b:1c:50:4a:24,ff:ff:ff:ff:ff:ff,OTHER,42,7.6,78.2,51822391,746888259,3,normal
2025-06-25T09:43:18.923988,0.0.0.0,0.0.0.0,0,0,38:6b:1c:50:4a:24,ff:ff:ff:ff:ff:ff,OTHER,42,0.0,78.2,51822391,746888259,4,normal
2025-06-25T09:43:19.944969,0.0.0.0,0.0.0.0,0,0,38:6b:1c:50:4a:24,ff:ff:ff:ff:ff:ff,OTHER,42,23.5,78.2,51822461,746888343,1,anomaly
2025-06-25T09:43:19.949378,0.0.0.0,0.0.0.0,0,0,60:e9:aa:84:d4:ff,38:6b:1c:50:4a:24,OTHER,42,33.3,78.2,51822461,746888343,2,anomaly
2025-06-25T09:43:19.953149,0.0.0.0,0.0.0.0,0,0,38:6b:1c:50:4a:24,ff:ff:ff:ff:ff:ff,OTHER,42,25.0,78.2,51822461,746888343,3,normal
2025-06-25T09:43:20.219451,192.168.0.103,27.116.54.177,44096,443,60:e9:aa:84:d4:ff,38:6b:1c:50:4a:24,UDP,1288,11.3,78.2,51825722,746888343,4,normal
2025-06-25T09:43:20.241151,192.168.0.103,27.116.54.177,44096,443,60:e9:aa:84:d4:ff,38:6b:1c:50:4a:24,UDP,1292,19.2,78.2,51825722,746888343,5,normal
2025-06-25T09:43:20.274531,192.168.0.103,27.116.54.177,44096,443,60:e9:aa:84:d4:ff,38:6b:1c:50:4a:24,UDP,597,39.5,78.2,51825862,746889331,6,normal
2025-06-25T09:43:20.299026,0.0.0.0,0.0.0.0,0,0,38:6b:1c:50:4a:24,ff:ff:ff:ff:ff:ff,OTHER,42,40.0,78.3,51827420,747008254,7,normal
2025-06-25T09:43:20.303786,0.0.0.0,0.0.0.0,0,0,60:e9:aa:84:d4:ff,38:6b:1c:50:4a:24,OTHER,42,33.3,78.3,51827525,747023753,8,normal
2025-06-25T09:43:20.307587,0.0.0.0,0.0.0.0,0,0,38:6b:1c:50:4a:24,ff:ff:ff:ff:ff:ff,OTHER,42,50.0,78.3,51827630,747026337,9,anomaly
2025-06-25T09:43:20.309991,0.0.0.0,0.0.0.0,0,0,38:6b:1c:50:4a:24,ff:ff:ff:ff:ff:ff,OTHER,42,0.0,78.3,51827630,747026337,10,normal
2025-06-25T09:43:20.312656,0.0.0.0,0.0.0.0,0,0,60:e9:aa:84:d4:ff,38:6b:1c:50:4a:24,OTHER,42,50.0,78.3,51827630,747026337,11,anomaly
2025-06-25T09:43:20.317031,192.168.0.5,239.255.255.250,1900,1900,38:6b:1c:50:4a:24,01:00:5e:7f:ff:fa,UDP,309,57.1,78.3,51827630,747026337,12,anomaly
2025-06-25T09:43:20.353903,192.168.0.5,239.255.255.250,1900,1900,38:6b:1c:50:4a:24,01:00:5e:7f:ff:fa,UDP,321,42.9,78.3,51827630,747026337,13,anomaly
2025-06-25T09:43:20.382996,27.116.54.177,192.168.0.103,443,44096,38:6b:1c:50:4a:24,60:e9:aa:84:d4:ff,UDP,71,40.0,78.3,51828699,747089045,14,normal
2025-06-25T09:43:20.410155,27.116.54.177,192.168.0.103,443,44096,38:6b:1c:50:4a:24,60:e9:aa:84:d4:ff,UDP,161,31.2,78.3,51828807,747092921,15,normal
2025-06-25T09:43:20.439322,192.168.0.103,27.116.54.177,44096,443,60:e9:aa:84:d4:ff,38:6b:1c:50:4a:24,UDP,79,29.4,78.3,51828807,747092921,16,normal
2025-06-25T09:43:20.464772,27.116.54.177,192.168.0.103,443,44096,38:6b:1c:50:4a:24,60:e9:aa:84:d4:ff,UDP,1288,35.5,78.2,51829332,747116177,17,normal
2025-06-25T09:43:20.490684,27.116.54.177,192.168.0.103,443,44096,38:6b:1c:50:4a:24,60:e9:aa:84:d4:ff,UDP,1292,30.0,78.2,51829854,747163981,18,normal
2025-06-25T09:43:20.515592,27.116.54.177,192.168.0.103,443,44096,38:6b:1c:50:4a:24,60:e9:aa:84:d4:ff,UDP,1292,32.3,78.3,51829854,747163981,19,normal
2025-06-25T09:43:20.536172,27.116.54.177,192.168.0.103,443,44096,38:6b:1c:50:4a:24,60:e9:aa:84:d4:ff,UDP,1292,17.4,78.3,51829854,747163981,20,normal
2025-06-25T09:43:20.559722,27.116.54.177,192.168.0.103,443,44096,38:6b:1c:50:4a:24,60:e9:aa:84:d4:ff,UDP,1292,31.0,78.3,51830384,747216953,21,normal
2025-06-25T09:43:20.580708,27.116.54.177,192.168.0.103,443,44096,38:6b:1c:50:4a:24,60:e9:aa:84:d4:ff,UDP,1292,20.0,78.3,51830384,747216953,22,normal
2025-06-25T09:43:20.608488,27.116.54.177,192.168.0.103,443,44096,38:6b:1c:50:4a:24,60:e9:aa:84:d4:ff,UDP,1292,35.3,78.3,51831017,747264757,23,normal
2025-06-25T09:43:20.631309,27.116.54.177,192.168.0.103,443,44096,38:6b:1c:50:4a:24,60:e9:aa:84:d4:ff,UDP,1292,23.1,78.3,51831017,747264757,24,normal
2025-06-25T09:43:20.650988,27.116.54.177,192.168.0.103,443,44096,38:6b:1c:50:4a:24,60:e9:aa:84:d4:ff,UDP,1292,25.0,78.3,51831324,747295765,25,normal
2025-06-25T09:43:20.672876,27.116.54.177,192.168.0.103,443,44096,38:6b:1c:50:4a:24,60:e9:aa:84:d4:ff,UDP,1292,24.0,78.3,51831324,747295765,26,normal
2025-06-25T09:43:20.694280,27.116.54.177,192.168.0.103,443,44096,38:6b:1c:50:4a:24,60:e9:aa:84:d4:ff,UDP,1292,20.0,78.3,51831324,747295765,27,normal
2025-06-25T09:43:20.718708,27.116.54.177,192.168.0.103,443,44096,38:6b:1c:50:4a:24,60:e9:aa:84:d4:ff,UDP,1292,27.6,78.3,51831738,747337109,28,normal
2025-06-25T09:43:20.741955,27.116.54.177,192.168.0.103,443,44096,38:6b:1c:50:4a:24,60:e9:aa:84:d4:ff,UDP,1292,25.9,78.3,51832047,747371993,29,normal
2025-06-25T09:43:20.761079,27.116.54.177,192.168.0.103,443,44096,38:6b:1c:50:4a:24,60:e9:aa:84:d4:ff,UDP,1292,21.7,78.3,51832047,747371993,30,normal
2025-06-25T09:43:20.784492,27.116.54.177,192.168.0.103,443,44096,38:6b:1c:50:4a:24,60:e9:aa:84:d4:ff,UDP,1292,30.0,78.3,51832047,747372366,31,normal
2025-06-25T09:43:20.807957,27.116.54.177,192.168.0.103,443,44096,38:6b:1c:50:4a:24,60:e9:aa:84:d4:ff,UDP,1292,22.2,78.3,51832047,747372366,32,normal
2025-06-25T09:43:20.831788,27.116.54.177,192.168.0.103,443,44096,38:6b:1c:50:4a:24,60:e9:aa:84:d4:ff,UDP,1292,27.6,78.3,51832047,747372366,33,normal
2025-06-25T09:43:20.854726,27.116.54.177,192.168.0.103,443,44096,38:6b:1c:50:4a:24,60:e9:aa:84:d4:ff,UDP,1292,28.6,78.3,51832259,747382702,34,normal
2025-06-25T09:43:20.879923,27.116.54.177,192.168.0.103,443,44096,38:6b:1c:50:4a:24,60:e9:aa:84:d4:ff,UDP,1292,32.1,78.3,51832982,747439550,35,normal
